,p_val,avg_logFC,pct.1,pct.2,p_val_adj
MYCL,7.88888341421834e-75,-0.718143181272385,0.468,0.765,1.471986756259e-70
RPS18,8.11596625438098e-75,-0.565487901018439,1,1,1.51435814340495e-70
IGFBP2,1.14402119469949e-74,0.846037143563115,0.963,0.767,2.13462914718978e-70
MAP1B,2.38631728006925e-74,-0.603303633991356,0.578,0.825,4.45262941288121e-70
FHIT,7.6039414007384e-74,0.518304278622873,0.491,0.072,1.41881942596378e-69
LRPAP1,1.07019456211436e-73,0.58862653759486,0.855,0.511,1.99687603344918e-69
TCF25,5.29589234120682e-73,-0.447619379047781,0.115,0.523,9.88160551945781e-69
RAB13,5.4669370766664e-73,0.562624914262404,0.721,0.284,1.02007578913518e-68
MEG3,9.56775837668442e-73,-0.688778315358124,0.219,0.598,1.78524803550555e-68
MT-ND3,1.49302307483662e-72,-0.825236653118301,0.958,0.978,2.78583175533766e-68
TMBIM6,1.52785388663789e-72,0.508757636548262,0.963,0.781,2.85082256707763e-68
ERP29,1.86924845607494e-72,0.50293341024454,0.95,0.732,3.48783069419024e-68
THOC7,3.22743442497505e-72,0.531990398796814,0.748,0.348,6.02206989356095e-68
C3orf14,5.62456590567924e-72,0.533284639606675,0.744,0.322,1.04948775234069e-67
RBP1,2.21392892286864e-71,0.554213123328626,0.923,0.65,4.1309699771806e-67
SNRPF,2.60817179395512e-71,-0.477614362935503,0.66,0.897,4.86658775034086e-67
MFAP2,1.08456107952524e-70,0.574740033297118,0.668,0.237,2.02368251828614e-66
TUBB2A,7.17080653903881e-70,-0.511642872982944,0.045,0.384,1.33800079211925e-65
OR51E1,2.74269615783242e-69,0.628906230840772,0.621,0.189,5.11759676089951e-65
SCGB1D1,3.92333641750178e-69,-0.717490824769108,0.137,0.507,7.32055342141657e-65
TM4SF1,8.74502673973757e-69,0.598561325956262,0.507,0.095,1.63173453936763e-64
GTF2I,1.60775880981496e-68,-0.511106926007557,0.689,0.897,2.99991716323373e-64
GNG2,2.00857813468337e-68,-0.405696163699067,0.083,0.465,3.7478059415057e-64
CLDN18,8.96016163122766e-68,0.375285439164459,0.324,0.002,1.67187655877077e-63
OAZ1,2.60543556209925e-67,0.425929769692017,0.998,0.958,4.86148221532099e-63
OS9,4.35020334270207e-67,0.528015776292589,0.758,0.364,8.1170444171478e-63
PSAP,7.20853707855721e-65,0.458669777096744,0.973,0.803,1.34504093348799e-60
HIST1H1C,1.26716448811093e-64,0.851575043291391,0.581,0.163,2.36440221836619e-60
PON3,1.62341114152768e-64,0.548537598862321,0.717,0.344,3.0291228489765e-60
NENF,2.78903542902598e-64,0.54542708303779,0.984,0.934,5.20406120701958e-60
CD164,7.23305902391692e-64,0.481375911462833,0.844,0.491,1.34961648327266e-59
TMEM258,8.56672656899416e-64,-0.452534453659214,0.861,0.956,1.59846551050862e-59
CSTB,9.52536952382082e-63,0.472242651783011,0.971,0.805,1.77733869944973e-58
PPDPF,2.68773923877183e-62,0.464764706872458,0.994,0.964,5.01505264562436e-58
