,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
MORN2,0.334566987416728,0.283282409428197,0.422893481717011,0.413134328358209
ARHGEF33,0.0281273131014064,0.0161501527717154,0.0349761526232114,0.0376119402985075
AC019171.1,0.0199851961509993,0.00742034046268005,0.0572337042925278,0.0155223880597015
SOS1,0.0895632864544782,0.0763858577040594,0.154213036565978,0.103880597014925
MAP4K3,0.07920059215396,0.0615451767786993,0.119236883942766,0.0949253731343284
AC007388.1,0.111028867505551,0.0759493670886076,0.160572337042925,0.0991044776119403
TMEM178A,0.0125832716506292,0,0.0111287758346582,0.00477611940298507
THUMPD2,0.159141376757957,0.0986468790920995,0.227344992050874,0.102686567164179
SLC8A1-AS1,0.0229459659511473,0.0344827586206897,0.0397456279809221,0.0501492537313433
SLC8A1,0.184307920059215,0.124399825403754,0.254372019077901,0.133731343283582
PKDCC,0.0125832716506292,0.0279353993889131,0.0333863275039746,0.0602985074626866
EML4,0.217616580310881,0.211697948494107,0.282988871224165,0.284179104477612
COX7A2L,1.15692079940785,1.10039284155391,1.48648648648649,1.81194029850746
KCNG3,0.00962250185048113,0.00218245307725884,0.0127186009538951,0.00358208955223881
MTA3,0.0962250185048113,0.104321257092973,0.12241653418124,0.146268656716418
HAAO,0.00962250185048113,0.0144041903099083,0,0.0197014925373134
ZFP36L2,0.354552183567728,0.275862068965517,0.389507154213037,0.737313432835821
AC010883.1,0.0170244263508512,0.0126582278481013,0.0127186009538951,0.0167164179104478
THADA,0.0917838638045892,0.0724574421649934,0.138314785373609,0.0770149253731343
PLEKHH2,0.0125832716506292,0.0283718900043649,0,0.0429850746268657
C1GALT1C1L,0.0140636565507032,0.00916630292448712,0.014308426073132,0.0167164179104478
DYNC2LI1,0.23019985196151,0.211261457878656,0.276629570747218,0.335522388059701
LRPPRC,0.330866025166543,0.255347010039284,0.454689984101749,0.354029850746269
AC019129.2,0.00814211695040711,0,0,0
PPM1B,0.184307920059215,0.0798777826276735,0.260731319554849,0.186268656716418
SLC3A1,0.0103626943005181,0.00305543430816237,0.0127186009538951,0.00656716417910448
PREPL,0.307920059215396,0.213007420340463,0.365659777424483,0.281194029850746
CAMKMT,0.124352331606218,0.0755128764731558,0.133545310015898,0.111641791044776
SIX3-AS1,0.0244263508512213,0.0126582278481013,0.0397456279809221,0.0274626865671642
SIX3,0.076239822353812,0.0226975120034919,0.0937996820349762,0.0316417910447761
SIX2,0.0636565507031828,0.0436490615451768,0.0747217806041336,0.0698507462686567
SRBD1,0.0444115470022206,0.0362287210824967,0.0620031796502385,0.0477611940298507
PRKCE,0.0444115470022206,0.0427760803142732,0.0779014308426073,0.0698507462686567
EPAS1,0.124352331606218,0.0750763858577041,0.251192368839428,0.105671641791045
ATP6V1E2,0.0481125092524056,0.0139676996944566,0.0476947535771065,0.0155223880597015
RHOQ,0.0629163582531458,0.0384111741597556,0.0794912559618442,0.0638805970149254
PIGF,0.203552923760178,0.164556962025316,0.252782193958665,0.276417910447761
CRIPT,0.350111028867506,0.301615015277172,0.429252782193959,0.505074626865672
SOCS5,0.077720207253886,0.0484504583151462,0.0810810810810811,0.0943283582089552
MCFD2,0.145817912657291,0.124399825403754,0.203497615262321,0.198805970149254
TTC7A,0.0414507772020725,0.0314273243125273,0.0763116057233704,0.0459701492537313
CALM2,3.85714285714286,3.58882584024443,5.15262321144674,5.61313432835821
AC106869.1,0.0977054034048853,0.126582278481013,0.120826709062003,0.15044776119403
EPCAM,2.59289415247964,4.07027498908773,3.79809220985692,7.35223880597015
