,met1,met2
SNRNP35,0.183333333333333,0.179273827534039
RILPL1,0.0171717171717172,0.0156328794755421
AC055713.1,0.00808080808080808,0.00579929399899143
TMED2,0.713636363636364,0.874936964195663
DDX55,0.094949494949495,0.0690872415532022
EIF2B1,0.186868686868687,0.195158850226929
GTF2H3,0.13030303030303,0.0849722642460918
TCTN2,0.0661616161616162,0.0516893595562279
ATP6V0A2,0.0909090909090909,0.0383257690368129
DNAH10,0.0378787878787879,0.0148764498234997
CCDC92,0.124242424242424,0.072869389813414
AC079315.1,0.00353535353535354,0.00226928895612708
DNAH10OS,0.00454545454545455,0.00428643469490671
ZNF664,0.513131313131313,0.416288451840646
RFLNA,0.00656565656565657,0.00100857286938981
NCOR2,0.230808080808081,0.130358043368633
SCARB1,0.0722222222222222,0.0501765002521432
UBC,9.05252525252525,7.12279374684821
DHX37,0.0338383838383838,0.0173978819969743
BRI3BP,0.131818181818182,0.135400907715582
AACS,0.150505050505051,0.114977307110439
TMEM132B,0.00606060606060606,0
LINC00944,0.0166666666666667,0
LINC02405,0.0328282828282828,0.0214321734745335
AC079949.1,0.0101010101010101,0.010590015128593
AC079949.2,0.0696969696969697,0.0451336359051941
SLC15A4,0.0772727272727273,0.0668179525970751
GLT1D1,0.0358585858585859,0.00529500756429652
TMEM132D,0.0227272727272727,0.0206757438224912
PIWIL1,0.0116161616161616,0
RIMBP2,0.101515151515152,0.0373171961674231
STX2,0.0964646464646465,0.0486636409480585
RAN,2.66666666666667,2.51563287947554
SFSWAP,0.174242424242424,0.16036308623298
MMP17,0.0237373737373737,0.0037821482602118
ULK1,0.103030303030303,0.100353000504286
PUS1,0.0434343434343434,0.0237014624306606
EP400,0.147979797979798,0.0998487140695915
DDX51,0.0348484848484849,0.0221886031265759
NOC4L,0.102525252525253,0.0801815431164902
LINC02361,0.00404040404040404,0.00479072112960161
AC148476.1,0.00202020202020202,0.00403429147755925
FBRSL1,0.115151515151515,0.0655572365103379
AC131212.1,0.00858585858585859,0
POLE,0.103535353535354,0.0612708018154312
PXMP2,0.334343434343434,0.215330307614725
PGAM5,0.052020202020202,0.0365607665153807
ANKLE2,0.207070707070707,0.16238023197176
GOLGA3,0.094949494949495,0.0905194150277358
CHFR,0.0414141414141414,0.037821482602118
AC127070.1,0.0131313131313131,0.0138678769541099
AC127070.2,0.0095959595959596,0.00453857791225416
ZNF605,0.0909090909090909,0.0597579425113464
ZNF26,0.0409090909090909,0.0327786182551689
ZNF84,0.263636363636364,0.207513867876954
ZNF140,0.0762626262626263,0.0716086737266768
ZNF891,0.0666666666666667,0.0506807866868381
ZNF10,0.272727272727273,0.116238023197176
ZNF268,0.0424242424242424,0.0358043368633384
MPHOSPH8,0.374747474747475,0.291477559253656
PSPC1,0.118686868686869,0.0953101361573374
ZMYM5,0.10959595959596,0.116994452849218
AL355001.2,0.0318181818181818,0.0179021684316692
ZMYM2,0.241414141414141,0.233484619263742
CRYL1,0.0868686868686869,0.10590015128593
IFT88,0.10050505050505,0.0791729702471003
AL161772.1,0.0217171717171717,0.0128593040847201
IL17D,0.0111111111111111,0.00453857791225416
EEF1AKMT1,0.096969696969697,0.102622289460414
XPO4,0.0797979797979798,0.0564800806858295
LATS2,0.00808080808080808,0.0126071608673727
SAP18,1.16464646464646,1.22516389309128
SKA3,0.0222222222222222,0.0211800302571861
MRPL57,0.537878787878788,0.703479576399395
ZDHHC20,0.0590909090909091,0.0509329299041856
MICU2,0.153535353535354,0.152294503277862
FGF9,0.0171717171717172,0.018910741301059
SACS,0.045959595959596,0.0353000504286435
TNFRSF19,0.0484848484848485,0.0443772062531518
MIPEP,0.0308080808080808,0.0292486132123046
SPATA13,0.0161616161616162,0.0123550176500252
PARP4,0.0661616161616162,0.0655572365103379
ATP12A,0.00454545454545455,0.00302571860816944
CENPJ,0.0303030303030303,0.0231971759959657
AMER2,0.0616161616161616,0.0156328794755421
MTMR6,0.0560606060606061,0.0438729198184569
NUP58,0.202525252525253,0.130862329803328
ATP8A2,0.146969696969697,0.136913767019667
SHISA2,0.0101010101010101,0.00252143217347453
RNF6,0.05,0.0526979324256178
AL138966.2,0.0141414141414141,0.00529500756429652
CDK8,0.108585858585859,0.08119011598588
WASF3,0.0752525252525253,0.0655572365103379
USP12,0.108585858585859,0.0968229954614221
USP12-AS2,0.00252525252525253,0
RPL21,6.27020202020202,4.65784165405951
RASL11A,0.0984848484848485,0.0640443772062532
GTF3A,0.365151515151515,0.345184064548664
MTIF3,0.228282828282828,0.1880988401412
LNX2,0.0146464646464646,0.0226928895612708
POLR1D,0.606565656565657,0.709278870398386
PDX1,0.00909090909090909,0.00529500756429652
PAN3,0.0550505050505051,0.0481593545133636
FLT1,0.0666666666666667,0.0340393343419062
POMP,0.85,0.828290468986384
SLC46A3,0.0277777777777778,0.0234493192133132
MTUS2,0.0292929292929293,0.0199193141704488
SLC7A1,0.0929292929292929,0.0617750882501261
UBL3,0.131818181818182,0.104639435199193
KATNAL1,0.0575757575757576,0.0605143721633888
HMGB1,3.02272727272727,2.72617246596067
USPL1,0.0803030303030303,0.053958648512355
ALOX5AP,0.0202020202020202,0.206505295007564
TEX26-AS1,0.0171717171717172,0
MEDAG,0.0156565656565657,0.0037821482602118
HSPH1,1.15656565656566,0.69011598587998
B3GLCT,0.00909090909090909,0.0209278870398386
FRY,0.0707070707070707,0.0693393847705497
FRY-AS1,0.00707070707070707,0.00151285930408472
BRCA2,0.0308080808080808,0.0179021684316692
N4BP2L1,0.139393939393939,0.157085224407463
N4BP2L2,0.493939393939394,0.482854261220373
PDS5B,0.0984848484848485,0.0854765506807867
KL,0.0116161616161616,0.00100857286938981
STARD13,0.0449494949494949,0.0247100353000504
AL139383.1,0.0106060606060606,0.00983358547655068
RFC3,0.151010101010101,0.0743822491174987
NBEA,0.110606060606061,0.0673222390317701
DCLK1,0.0161616161616162,0.021684316691881
CCDC169,0.00656565656565657,0
SPART,0.0656565656565657,0.048411497730711
CCNA1,0.0106060606060606,0.00453857791225416
RFXAP,0.0595959595959596,0.0370650529500756
SMAD9,0.0904040404040404,0.0247100353000504
ALG5,0.154545454545455,0.153807362581947
EXOSC8,0.225252525252525,0.207009581442259
SUPT20H,0.117171717171717,0.10690872415532
POSTN,0.282828282828283,0.374432677760968
TRPC4,0.00707070707070707,0.0494200706001009
LINC02334,0.0161616161616162,0.0834594049420071
UFM1,0.234343434343434,0.22869389813414
LINC00437,0.00303030303030303,0
PROSER1,0.0580808080808081,0.0428643469490671
NHLRC3,0.095959595959596,0.0915279878971256
LHFPL6,0.370707070707071,0.41880988401412
COG6,0.0727272727272727,0.0743822491174987
FOXO1,0.0297979797979798,0.0214321734745335
MRPS31,0.137878787878788,0.0731215330307615
SLC25A15,0.0095959595959596,0.00806858295511851
ELF1,0.144444444444444,0.194654563792234
WBP4,0.153535353535354,0.101361573373676
